,Address,Sale Date,Sale Price,Acres,Year  Built,Square Ft,price_number,price_sf,Year,lat,long,GEOID
1074,1290 SMITHDALE HEIGHTS DR,12/31/18,"$310,000 ",1.06,2006,"1,871",310000,165.6867985,2018,34.2348867,-84.1673566,13117130411
1075,1290 SMITHDALE RD,12/16/22,"$450,000 ",1.19,1990,"1,602",450000,280.8988764,2022,34.2359527,-84.1679335,13117130411
1099,1300 SMITHDALE HEIGHTS DR,5/7/20,"$445,000 ",1.06,2006,"2,440",445000,182.3770492,2020,34.2350816,-84.1669033,13117130411
1101,1301 LEXINGTON GREEN PNES,7/1/22,"$469,760 ",0.06,2022,"2,218",469760,211.7944094,2022,34.2494037,-84.096206,13117130411
1104,1302 LEXINGTON GREEN PNES,7/1/22,"$504,140 ",0.06,2022,"2,154",504140,234.0482823,2022,34.2494037,-84.096206,13117130411
1107,1303 LEXINGTON GREEN PNES,7/1/22,"$499,040 ",0.06,2022,"2,086",499040,239.2329818,2022,34.2494037,-84.096206,13117130411
1110,1304 LEXINGTON GREEN PNES,7/1/22,"$504,080 ",0.06,2022,"2,218",504080,227.2678088,2022,34.2494037,-84.096206,13117130411
1124,1305 SMITHDALE HEIGHTS DR,3/21/22,"$473,000 ",1.06,2006,"2,426",473000,194.9711459,2022,34.2357504,-84.1664088,13117130411
1261,1330 SMITHDALE HEIGHTS DR,7/1/19,"$510,000 ",1.87,2001,"2,971",510000,171.6593739,2019,34.2349886,-84.1644926,13117130411
1315,1340 DR BRAMBLETT RD,10/31/19,"$323,000 ",2.28,1999,"1,930",323000,167.357513,2019,34.236934,-84.168346,13117130411
1373,1350 DR BRAMBLETT RD,2/13/18,"$140,000 ",0.9,1962,"1,200",140000,116.6666667,2018,34.2369534,-84.1698702,13117130411
1530,1390 DR BRAMBLETT RD,8/28/19,"$170,000 ",0.91,1964,"1,272",170000,133.6477987,2019,34.2381139,-84.1697053,13117130411
1559,1403 LEXINGTON GREEN PNES,12/12/22,"$571,120 ",0.06,2022,"2,369",571120,241.0806247,2022,34.2494037,-84.096206,13117130411
1696,1435 JACKSON DR,10/15/20,"$264,850 ",0.83,1965,"1,160",264850,228.3189655,2020,34.2280316,-84.1438022,13117130411
1826,1485 CAMDEN COVE DR,12/31/19,"$395,000 ",0.22,2006,"2,885",395000,136.915078,2019,34.2293032,-84.1373504,13117130411
1833,1490 CAMDEN COVE DR,6/25/18,"$334,000 ",0.2,2007,"2,735",334000,122.1206581,2018,34.229736,-84.1373504,13117130411
1844,1495 CAMDEN COVE DR,6/26/18,"$359,900 ",0.21,2006,"2,614",359900,137.6817138,2018,34.2292944,-84.1376184,13117130411
1849,1501 LEXINGTON GREEN PNES,5/6/22,"$433,300 ",0.06,2022,"2,187",433300,198.1252858,2022,34.24948229,-84.09624971,13117130411
1853,1502 LEXINGTON GREEN PNES,5/6/22,"$390,540 ",0.06,2022,"2,111",390540,185.0023685,2022,34.2494037,-84.096206,13117130411
1855,1503 LEXINGTON GREEN PNES,5/6/22,"$359,395 ",0.06,2022,"1,786",359395,201.2290034,2022,34.2494037,-84.096206,13117130411
1858,1504 LEXINGTON GREEN PNES,5/6/22,"$392,250 ",0.06,2021,"1,719",392250,228.1849913,2022,34.2494037,-84.096206,13117130411
1883,1510 HUGHES DR,11/10/21,"$467,000 ",1.72,2002,"2,454",467000,190.3015485,2021,34.2424652,-84.1212283,13117130411
1910,1515 GORDON RD,9/7/18,"$204,000 ",0.95,1977,"1,316",204000,155.0151976,2018,34.2393315,-84.1689224,13117130411
1988,1535 CAMDEN COVE DR,10/27/22,"$674,900 ",0.22,2008,"2,673",674900,252.4878414,2022,34.2294764,-84.1382574,13117130411
1991,1535 DAHLONEGA HWY,11/19/20,"$270,000 ",2.78,1950,"1,310",270000,206.1068702,2020,34.2402722,-84.1206097,13117130411
2098,1565 CAMDEN COVE DR,12/2/19,"$382,500 ",0.22,2017,"3,115",382500,122.7929374,2019,34.2296377,-84.138917,13117130411
2141,1580 NESTLEDOWN DR,5/31/19,"$432,700 ",0.23,2019,"2,567",432700,168.5625243,2019,34.2277117,-84.1502533,13117130411
2158,1590 HUGHES DR,12/27/21,"$600,000 ",5.19,2015,"2,613",600000,229.6211251,2021,34.2445218,-84.1225019,13117130411
2160,1590 NESTLEDOWN DR,4/30/18,"$429,753 ",0.21,2018,"3,145",429753,136.6464229,2018,34.2274973,-84.1502945,13117130411
2169,1595 NESTLEDOWN DR,5/24/18,"$408,430 ",0.27,2018,"2,749",408430,148.5740269,2018,34.2275937,-84.1495938,13117130411
2174,1601 LEXINGTON GREEN PNES,8/12/22,"$616,760 ",0.06,2022,"2,821",616760,218.6316909,2022,34.2494037,-84.096206,13117130411
2175,1602 LEXINGTON GREEN PNES,8/12/22,"$605,985 ",0.06,2022,"2,821",605985,214.8121234,2022,34.2496058,-84.0962082,13117130411
2193,1605 NESTLEDOWN DR,4/2/18,"$402,825 ",0.21,2017,"2,499",402825,161.1944778,2018,34.2273587,-84.1496556,13117130411
2196,1605 SAWNEE MEADOW LN,11/30/21,"$388,518 ",0.68,1971,"1,906",388518,203.8394544,2021,34.231986,-84.136687,13117130411
2212,1610 NESTLEDOWN DR,4/12/18,"$468,220 ",0.21,2018,"2,749",468220,170.3237541,2018,34.2272996,-84.1502327,13117130411
2238,1615 GORDON RD,2/22/18,"$200,000 ",0.98,1981,"1,670",200000,119.760479,2018,34.2398488,-84.1688812,13117130411
2246,1615 NESTLEDOWN DR,10/26/21,"$477,725 ",0.22,2021,"2,734",477725,174.7348208,2021,34.2271895,-84.149738,13117130411
2278,1620 NESTLEDOWN DR,8/10/18,"$441,660 ",0.21,2018,"2,706",441660,163.2150776,2018,34.2271265,-84.1502327,13117130411
2301,1625 SAWNEE MEADOW LN,6/30/22,"$925,000 ",0.73,2019,"3,399",925000,272.1388644,2022,34.2320324,-84.1369588,13117130411
2302,1625 SAWNEE MEADOW LN,1/8/21,"$808,000 ",0.73,2019,"3,399",808000,237.7169756,2021,34.2320324,-84.1369588,13117130411
2318,1630 CAMDEN COVE DR,4/29/22,"$600,000 ",0.25,2007,"2,410",600000,248.9626556,2022,34.230094,-84.1385048,13117130411
2333,1630 NESTLEDOWN DR,5/16/19,"$395,000 ",0.21,2018,"2,160",395000,182.8703704,2019,34.2269347,-84.1502945,13117130411
2406,1645 BETTIS TRIBBLE GAP RD,10/30/18,"$284,500 ",0.66,1926,"2,064",284500,137.8391473,2018,34.2335734,-84.1361548,13117130411
2420,1645 NESTLEDOWN DR,4/28/20,"$456,075 ",0.23,2019,"2,705",456075,168.6044362,2020,34.2269918,-84.1496762,13117130411
2440,1650 JACKSON CT,4/26/22,"$550,100 ",0.92,1987,"2,112",550100,260.4640152,2022,34.2319135,-84.1458015,13117130411
2441,1650 JACKSON CT,4/23/20,"$344,500 ",0.92,1987,"2,112",344500,163.1155303,2020,34.2319135,-84.1458015,13117130411
2446,1650 NESTLEDOWN DR,12/21/18,"$383,750 ",0.21,2018,"2,163",383750,177.4156264,2018,34.2265728,-84.1499647,13117130411
2457,1655 GORDON RD,11/11/20,"$170,000 ",1.3,1982,"1,602",170000,106.1173533,2020,34.241638,-84.169117,13117130411
2481,1660 NESTLEDOWN DR,3/2/21,"$427,730 ",0.21,2020,"2,531",427730,168.9964441,2021,34.2265836,-84.149738,13117130411
2521,1675 BETTIS TRIBBLE GAP RD,7/30/18,"$199,555 ",0.77,1985,"1,458",199555,136.8689986,2018,34.2343424,-84.1359487,13117130411
2530,1675 NESTLEDOWN DR,11/10/20,"$438,375 ",0.21,2020,"2,585",438375,169.5841393,2020,34.2270007,-84.1494083,13117130411
2553,1685 JACKSON CT,8/30/21,"$405,000 ",1.58,1986,"2,198",405000,184.2584167,2021,34.2306625,-84.144977,13117130411
2554,1685 JACKSON CT,9/9/19,"$260,000 ",1.58,1986,"2,198",260000,118.289354,2019,34.2306625,-84.144977,13117130411
2571,1690 NESTLEDOWN DR,6/22/21,"$438,180 ",0.24,2021,"2,509",438180,174.6432842,2021,34.2265709,-84.1490167,13117130411
2585,1695 NESTLEDOWN DR,11/4/21,"$449,270 ",0.21,2021,"2,688",449270,167.1391369,2021,34.2269771,-84.1489136,13117130411
2595,1701 LEXINGTON GREEN PNES,9/7/21,"$345,230 ",0.06,2021,"2,346",345230,147.1568627,2021,34.24962712,-84.09671488,13117130411
2597,1702 LEXINGTON GREEN PNES,9/3/21,"$361,150 ",0.06,2021,"2,131",361150,169.4744252,2021,34.249401,-84.0966498,13117130411
2601,1703 LEXINGTON GREEN PNES,9/3/21,"$352,325 ",0.06,2021,"1,796",352325,196.172049,2021,34.2494353,-84.0967595,13117130411
2603,1704 LEXINGTON GREEN PNES,9/3/21,"$329,885 ",0.06,2021,"1,640",329885,201.1493902,2021,34.2494006,-84.0967603,13117130411
2619,1705 NESTLEDOWN DR,5/31/19,"$466,881 ",0.21,2017,"2,755",466881,169.4667877,2019,34.2269653,-84.1486663,13117130411
2670,1714 SAWNEE MEADOW LN,6/21/22,"$525,000 ",2.06,1993,"2,173",525000,241.6014726,2022,34.232772,-84.1397622,13117130411
2671,1714 SAWNEE MEADOW LN,3/2/20,"$408,000 ",2.06,1993,"2,173",408000,187.7588587,2020,34.232772,-84.1397622,13117130411
2677,1715 DAHLONEGA HWY,10/31/22,"$1,280,000 ",40.96,1940,"1,063",1280000,1204.139229,2022,34.2442798,-84.1170243,13117130411
2683,1715 NESTLEDOWN DR,9/30/20,"$440,323 ",0.21,2019,"2,708",440323,162.6008124,2020,34.2269535,-84.148419,13117130411
2686,1715 SAWNEE MEADOW LN,7/6/18,"$535,000 ",8.38,1989,"3,733",535000,143.3163675,2018,34.230744,-84.140127,13117130411
2740,1725 JACKSON CT,3/29/20,"$260,000 ",1.03,1986,"2,036",260000,127.7013752,2020,34.2304117,-84.1465229,13117130411
2742,1725 NESTLEDOWN DR,1/15/21,"$432,500 ",0.21,2019,"2,752",432500,157.1584302,2021,34.2269231,-84.1482335,13117130411
2765,1730 GORDON RD,9/17/18,"$222,000 ",1.09,1976,"1,455",222000,152.5773196,2018,34.2399751,-84.1669857,13117130411
2772,1730 NESTLEDOWN DR,11/17/20,"$447,905 ",0.23,2020,"3,198",447905,140.0578487,2020,34.2265051,-84.1480892,13117130411
2796,1735 NESTLEDOWN DR,3/25/22,"$493,600 ",0.23,2021,"2,697",493600,183.0181683,2022,34.2269545,-84.1479862,13117130411
2821,1740 NESTLEDOWN DR,12/10/21,"$490,175 ",0.26,2021,"2,733",490175,179.3541895,2021,34.2265552,-84.1477801,13117130411
2872,1750 NESTLEDOWN DR,12/31/18,"$442,700 ",0.26,2018,"2,644",442700,167.4357035,2018,34.2266733,-84.1475328,13117130411
2905,1760 NESTLEDOWN DR,7/27/20,"$446,015 ",0.25,2020,"2,755",446015,161.892922,2020,34.2268405,-84.1474091,13117130411
2922,1765 NESTLEDOWN DR,8/30/21,"$503,911 ",0.23,2021,"2,938",503911,171.5149762,2021,34.2271611,-84.1477801,13117130411
2935,1770 JACKSON CT,8/17/22,"$628,500 ",0.99,1986,"2,047",628500,307.0346849,2022,34.2314699,-84.1469351,13117130411
2936,1770 JACKSON CT,6/28/19,"$390,000 ",0.99,1986,"2,047",390000,190.5227162,2019,34.2314699,-84.1469351,13117130411
2938,1770 NESTLEDOWN DR,12/15/18,"$426,065 ",0.21,2018,"2,644",426065,161.1440998,2018,34.2270576,-84.1472828,13117130411
2962,1780 NESTLEDOWN DR,12/31/18,"$481,153 ",0.27,2018,"3,297",481153,145.936609,2018,34.2272408,-84.1471824,13117130411
2990,1790 NESTLEDOWN DR,12/11/18,"$441,805 ",0.26,2018,"2,644",441805,167.0972012,2018,34.2275004,-84.1471824,13117130411
3014,1801 LEXINGTON GREEN PNES,11/30/21,"$395,020 ",0.06,2021,"2,346",395020,168.3802217,2021,34.2494002,-84.0968551,13117130411
3015,1802 LEXINGTON GREEN PNES,11/30/21,"$408,740 ",0.06,2021,"2,423",408740,168.6917045,2021,34.2494001,-84.0968561,13117130411
3016,1803 LEXINGTON GREEN PNES,11/22/21,"$386,695 ",0.06,2021,"1,701",386695,227.3339212,2021,34.24933552,-84.09689235,13117130411
3018,1804 LEXINGTON GREEN PNES,11/30/21,"$369,580 ",0.06,2021,"2,190",369580,168.7579909,2021,34.2494001,-84.096858,13117130411
3026,1805 NESTLEDOWN DR,9/21/20,"$439,580 ",0.21,2020,"2,725",439580,161.3137615,2020,34.2275919,-84.1477389,13117130411
3030,1805 SAWNEE MEADOW LN,5/4/21,"$1,000,000 ",4.75,1994,"2,905",1000000,344.2340792,2021,34.2304314,-84.1414936,13117130411
3031,1805 SAWNEE MEADOW LN,5/3/19,"$657,000 ",4.75,1994,"2,905",657000,226.16179,2019,34.2304314,-84.1414936,13117130411
3049,1810 NESTLEDOWN DR,9/14/18,"$432,850 ",0.21,2018,"2,826",432850,153.1670205,2018,34.2277001,-84.1472854,13117130411
3068,1815 NESTLEDOWN DR,12/18/20,"$423,645 ",0.21,2019,"2,278",423645,185.9723442,2020,34.2277256,-84.1478213,13117130411
3083,1820 NESTLEDOWN DR,6/21/18,"$391,295 ",0.21,2018,"2,160",391295,181.1550926,2018,34.2278771,-84.1473679,13117130411
3106,1825 NESTLEDOWN DR,6/7/19,"$427,705 ",0.24,2018,"2,644",427705,161.7643722,2019,34.2279459,-84.1479037,13117130411
3108,1825 PINE RIDGE DR,11/24/20,"$380,000 ",2.26,1968,"2,294",380000,165.6495205,2020,34.229429,-84.1499647,13117130411
3137,1830 NESTLEDOWN DR,12/20/18,"$432,488 ",0.21,2018,"2,644",432488,163.5733737,2018,34.2280955,-84.1474091,13117130411
3161,1835 NESTLEDOWN DR,5/15/19,"$453,035 ",0.24,2018,"2,865",453035,158.1273997,2019,34.2281456,-84.1480068,13117130411
3162,1835 NESTLEDOWN DR,9/14/20,"$449,995 ",0.24,2018,"2,865",449995,157.0663176,2020,34.2281456,-84.1480068,13117130411
3185,1840 NESTLEDOWN DR,6/11/18,"$411,435 ",0.21,2018,"2,413",411435,170.5076668,2018,34.2282912,-84.1474297,13117130411
3204,1845 NESTLEDOWN DR,7/26/19,"$441,141 ",0.21,2019,"2,685",441141,164.298324,2019,34.2283807,-84.147945,13117130411
3228,1850 NESTLEDOWN DR,4/30/19,"$425,320 ",0.21,2018,"2,188",425320,194.3875686,2019,34.2284643,-84.1474297,13117130411
3248,1855 NESTLEDOWN DR,4/24/18,"$457,415 ",0.21,2018,"3,228",457415,141.7022924,2018,34.2285744,-84.1479244,13117130411
3259,1860 NESTLEDOWN DR,6/29/18,"$440,904 ",0.21,2018,"2,749",440904,160.3870498,2018,34.22866,-84.1474503,13117130411
3273,1865 NESTLEDOWN DR,11/21/18,"$422,390 ",0.21,2018,"2,644",422390,159.7541604,2018,34.2287475,-84.1479244,13117130411
3284,1870 NESTLEDOWN DR,3/27/19,"$429,225 ",0.21,2018,"2,644",429225,162.3392587,2019,34.2288764,-84.1474503,13117130411
3298,1875 NESTLEDOWN DR,7/23/20,"$475,000 ",0.21,2018,"2,936",475000,161.7847411,2020,34.2289571,-84.1479718,13117130411
3299,1875 NESTLEDOWN DR,4/25/18,"$441,165 ",0.21,2018,"2,936",441165,150.2605586,2018,34.2289571,-84.1479718,13117130411
3312,1880 NESTLEDOWN DR,5/25/18,"$400,200 ",0.23,2018,"2,755",400200,145.2631579,2018,34.2290662,-84.1473473,13117130411
3322,1885 NESTLEDOWN DR,4/26/18,"$449,235 ",0.29,2018,"3,228",449235,139.1682156,2018,34.2291802,-84.1479244,13117130411
3338,1895 NESTLEDOWN DR,8/11/22,"$665,000 ",0.25,2018,"2,936",665000,226.4986376,2022,34.2293455,-84.1477595,13117130411
3339,1895 NESTLEDOWN DR,7/12/18,"$454,863 ",0.25,2018,"2,936",454863,154.9260899,2018,34.2293455,-84.1477595,13117130411
3345,1901 LEXINGTON GREEN PNES,8/20/21,"$353,950 ",0.06,2021,"1,873",353950,188.9749066,2021,34.2496717,-84.0969545,13117130411
3348,1902 LEXINGTON GREEN PNES,8/20/21,"$346,165 ",0.06,2021,"1,873",346165,184.818473,2021,34.2493997,-84.0969528,13117130411
3349,1903 LEXINGTON GREEN PNES,8/23/21,"$373,840 ",0.06,2021,"2,286",373840,163.5345582,2021,34.2493997,-84.0969528,13117130411
3350,1904 LEXINGTON GREEN PNES,8/20/21,"$337,175 ",0.06,2021,"1,736",337175,194.2252304,2021,34.2493997,-84.0969528,13117130411
3372,1910 DAHLONEGA HWY,6/4/21,"$805,000 ",2.14,2017,"2,579",805000,312.136487,2021,34.2476414,-84.1136811,13117130411
3397,1915 TIMBERLAND DR,6/3/22,"$275,000 ",1.35,1973,"1,687",275000,163.0112626,2022,34.2350506,-84.1371855,13117130411
3420,1920 TIMBERLAND DR,9/14/18,"$212,000 ",0.55,1989,"1,938",212000,109.3911249,2018,34.2357144,-84.1374053,13117130411
3428,1925 CACTUS LN,1/31/22,"$408,100 ",0.58,1986,"1,748",408100,233.4668192,2022,34.234545,-84.1365671,13117130411
3429,1925 CACTUS LN,8/13/20,"$263,000 ",0.58,1986,"1,748",263000,150.4576659,2020,34.234545,-84.1365671,13117130411
3432,1925 GOLDMINE DR,8/24/18,"$350,000 ",3.07,1972,"2,708",350000,129.2466765,2018,34.2277092,-84.1556527,13117130411
3492,1940 COUNTRY PL,5/27/20,"$285,000 ",0.99,1988,"2,435",285000,117.0431211,2020,34.2270974,-84.1564357,13117130411
3521,1945 NESTLEDOWN DR,4/28/20,"$468,042 ",0.26,2019,"2,694",468042,173.7349666,2020,34.2295305,-84.1461931,13117130411
3567,1950 TIMBERLAND DR,11/30/21,"$273,000 ",0.55,1979,"1,092",273000,250.0,2021,34.2357194,-84.1385048,13117130411
3578,1955 GOLDMINE DR,7/10/18,"$490,000 ",2.9,1997,"2,975",490000,164.7058824,2018,34.2288894,-84.1559,13117130411
3583,1955 NESTLEDOWN DR,5/8/20,"$461,362 ",0.24,2019,"2,690",461362,171.5100372,2020,34.2294321,-84.1459458,13117130411
3608,1965 GOLDMINE DR,9/28/20,"$340,000 ",3.15,1972,"1,688",340000,201.4218009,2020,34.2294895,-84.1548696,13117130411
3610,1965 NESTLEDOWN DR,7/31/20,"$454,440 ",0.21,2020,"2,898",454440,156.8115942,2020,34.2293151,-84.1457603,13117130411
3630,1975 NESTLEDOWN DR,5/5/20,"$459,958 ",0.21,2019,"2,642",459958,174.0946253,2020,34.2290716,-84.1453908,13117130411
3634,1975 TIMBERLAND DR,8/16/21,"$287,500 ",0.55,1980,"1,264",287500,227.4525316,2021,34.2349917,-84.1395767,13117130411
3635,1975 TIMBERLAND DR,12/15/20,"$249,900 ",0.55,1980,"1,264",249900,197.7056962,2020,34.2349917,-84.1395767,13117130411
3651,1985 NESTLEDOWN DR,8/17/21,"$448,470 ",0.21,2021,"2,813",448470,159.4276573,2021,34.229077,-84.145399,13117130411
3661,1990 HUGHES DR,10/19/18,"$695,000 ",2.0,1993,"3,162",695000,219.7975965,2018,34.250813,-84.125596,13117130411
3670,1995 NESTLEDOWN DR,11/26/19,"$471,335 ",0.21,2019,"2,697",471335,174.7626993,2019,34.228964,-84.1452038,13117130411
3679,2001 LEXINGTON GREEN PNES,7/16/21,"$325,570 ",0.06,2021,"1,797",325570,181.1741792,2021,34.2493997,-84.0969528,13117130411
3680,2002 LEXINGTON GREEN PNES,7/23/21,"$384,360 ",0.06,2021,"2,313",384360,166.1738003,2021,34.2493997,-84.0969528,13117130411
3681,2003 LEXINGTON GREEN PNES,7/16/21,"$390,470 ",0.06,2021,"2,423",390470,161.1514651,2021,34.2493997,-84.0969528,13117130411
3682,2004 LEXINGTON GREEN PNES,7/16/21,"$334,010 ",0.06,2021,"1,640",334010,203.6646341,2021,34.2493997,-84.0969528,13117130411
3688,2005 NESTLEDOWN DR,12/14/21,"$509,865 ",0.21,2021,"3,088",509865,165.1117228,2021,34.228847,-84.1450183,13117130411
3728,2015 GOLDMINE DR,7/31/18,"$282,000 ",0.95,1984,"2,720",282000,103.6764706,2018,34.2303709,-84.1533858,13117130411
3730,2015 HONEYSUCKLE DR,9/16/22,"$275,000 ",0.57,1983,"1,356",275000,202.8023599,2022,34.2363585,-84.1373916,13117130411
3768,2025 GOLDMINE DR,5/17/22,"$575,000 ",0.74,2017,"1,995",575000,288.2205514,2022,34.2306994,-84.1530148,13117130411
3769,2025 GOLDMINE DR,1/19/18,"$325,000 ",0.74,2017,"1,995",325000,162.9072682,2018,34.2306994,-84.1530148,13117130411
3774,2025 MOUNTAIN RD,11/29/22,"$142,100 ",0.5,1920,"1,050",142100,135.3333333,2022,34.247754,-84.1183099,13117130411
3775,2025 NESTLEDOWN DR,10/31/19,"$458,466 ",0.26,2019,"2,662",458466,172.2261458,2019,34.2285696,-84.1446473,13117130411
3788,203 LEXINGTON GREEN PNES,5/14/21,"$358,790 ",0.06,2021,"2,286",358790,156.9510061,2021,34.249399,-84.0971213,13117130411
3808,2030 TIMBERLAND DR,9/7/21,"$325,000 ",0.55,1988,"1,737",325000,187.1042026,2021,34.235651,-84.1417637,13117130411
3824,2035 NESTLEDOWN DR,5/27/21,"$438,064 ",0.25,2021,"2,682",438064,163.3348248,2021,34.2283493,-84.1445648,13117130411
3838,204 LEXINGTON GREEN PNES,5/14/21,"$318,080 ",0.06,2021,"1,640",318080,193.9512195,2021,34.249399,-84.0971213,13117130411
3849,2040 CACTUS LN,9/14/18,"$207,000 ",0.55,1989,"1,512",207000,136.9047619,2018,34.2344213,-84.1412257,13117130411
3873,2045 NESTLEDOWN DR,6/29/21,"$439,545 ",0.21,2021,"2,279",439545,192.8674857,2021,34.2281536,-84.1445442,13117130411
3889,2050 NESTLEDOWN DR,8/6/20,"$482,586 ",0.21,2020,"2,648",482586,182.2454683,2020,34.2280906,-84.1450389,13117130411
3908,2055 NESTLEDOWN DR,8/25/21,"$429,670 ",0.21,2021,"2,666",429670,161.1665416,2021,34.2279579,-84.1445236,13117130411
3923,2060 NESTLEDOWN DR,3/14/22,"$670,000 ",0.21,2020,"2,694",670000,248.7008166,2022,34.2278949,-84.1450183,13117130411
3924,2060 NESTLEDOWN DR,9/30/20,"$470,071 ",0.21,2020,"2,694",470071,174.4881218,2020,34.2278949,-84.1450183,13117130411
3938,2065 NESTLEDOWN DR,3/24/20,"$443,435 ",0.24,2019,"2,753",443435,161.0733745,2020,34.2277415,-84.1445236,13117130411
3945,2070 CACTUS LN,11/5/20,"$275,000 ",0.55,1980,"2,486",275000,110.619469,2020,34.2345177,-84.1423387,13117130411
3946,2070 CACTUS LN,11/14/18,"$225,000 ",0.55,1980,"2,486",225000,90.50683829,2018,34.2345177,-84.1423387,13117130411
3952,2070 NESTLEDOWN DR,6/5/20,"$505,402 ",0.21,2020,"2,866",505402,176.3440335,2020,34.2276825,-84.1451007,13117130411
3963,2075 CACTUS LN,6/24/21,"$275,000 ",0.55,1986,"1,704",275000,161.3849765,2021,34.2338273,-84.14238,13117130411
3966,2075 NESTLEDOWN DR,6/5/20,"$437,331 ",0.25,2019,"2,654",437331,164.7818387,2020,34.2275517,-84.1446266,13117130411
3994,2085 NESTLEDOWN DR,11/26/19,"$441,431 ",0.25,2019,"2,777",441431,158.9596687,2019,34.2273186,-84.1447297,13117130411
4013,2095 NESTLEDOWN DR,6/12/20,"$439,650 ",0.26,2019,"3,089",439650,142.3276141,2020,34.2272212,-84.1449564,13117130411
4045,2100 HONEYSUCKLE DR,3/15/21,"$415,000 ",2.19,1986,"2,526",415000,164.2913698,2021,34.2371198,-84.1406485,13117130411
4047,2101 LEXINGTON GREEN PNES,4/16/21,"$338,105 ",0.06,2021,"1,763",338105,191.7782189,2021,34.2490541,-84.0980023,13117130411
4048,2102 LEXINGTON GREEN PNES,4/30/21,"$351,790 ",0.06,2021,"1,763",351790,199.5405559,2021,34.2490541,-84.0980023,13117130411
4049,2103 LEXINGTON GREEN PNES,4/16/21,"$327,465 ",0.06,2021,"1,796",327465,182.3301782,2021,34.2490541,-84.0980023,13117130411
4050,2104 LEXINGTON GREEN PNES,4/16/21,"$330,220 ",0.06,2021,"1,796",330220,183.8641425,2021,34.2490541,-84.0980023,13117130411
4058,2105 NESTLEDOWN DR,7/7/21,"$500,000 ",0.28,2019,"2,294",500000,217.9598954,2021,34.2270599,-84.1452038,13117130411
4059,2105 NESTLEDOWN DR,12/21/20,"$429,139 ",0.28,2019,"2,294",429139,187.0701831,2020,34.2270599,-84.1452038,13117130411
4079,2115 CACTUS LN,1/12/18,"$249,000 ",0.56,1986,"2,682",249000,92.84116331,2018,34.2337309,-84.1439877,13117130411
4091,2115 NESTLEDOWN DR,6/28/21,"$440,680 ",0.28,2021,"2,774",440680,158.8608508,2021,34.2271848,-84.1455541,13117130411
4121,2120 WEST BUCKEYE ST,11/16/18,"$180,000 ",0.55,1973,"1,317",180000,136.6742597,2018,34.2351196,-84.1431632,13117130411
4122,2125 ANTIOCH RD,12/3/18,"$100,000 ",0.5,1981,876,100000,114.1552511,2018,34.2389023,-84.1091854,13117130411
4139,2125 NESTLEDOWN DR,3/6/20,"$398,200 ",0.28,2019,"2,128",398200,187.1240602,2020,34.2273244,-84.1457603,13117130411
4155,2130 HONEYSUCKLE DR,3/29/19,"$274,900 ",0.55,2019,"1,810",274900,151.878453,2019,34.2366363,-84.1421472,13117130411
