,Address,Sale Date,Sale Price,Acres,Year  Built,Square Ft,price_number,price_sf,Year,lat,long,GEOID
83,1730 GORDON RD,9/17/18,"$222,000 ",1.09,1976,"1,455",222000,152.5773196,2018,34.2399751,-84.1669857,13117130411
84,1730 NESTLEDOWN DR,11/17/20,"$447,905 ",0.23,2020,"3,198",447905,140.0578487,2020,34.2265051,-84.1480892,13117130411
85,1735 NESTLEDOWN DR,3/25/22,"$493,600 ",0.23,2021,"2,697",493600,183.0181683,2022,34.2269545,-84.1479862,13117130411
86,1740 NESTLEDOWN DR,12/10/21,"$490,175 ",0.26,2021,"2,733",490175,179.3541895,2021,34.2265552,-84.1477801,13117130411
87,1750 NESTLEDOWN DR,12/31/18,"$442,700 ",0.26,2018,"2,644",442700,167.4357035,2018,34.2266733,-84.1475328,13117130411
88,1760 NESTLEDOWN DR,7/27/20,"$446,015 ",0.25,2020,"2,755",446015,161.892922,2020,34.2268405,-84.1474091,13117130411
89,1765 NESTLEDOWN DR,8/30/21,"$503,911 ",0.23,2021,"2,938",503911,171.5149762,2021,34.2271611,-84.1477801,13117130411
90,1770 JACKSON CT,8/17/22,"$628,500 ",0.99,1986,"2,047",628500,307.0346849,2022,34.2314699,-84.1469351,13117130411
91,1770 JACKSON CT,6/28/19,"$390,000 ",0.99,1986,"2,047",390000,190.5227162,2019,34.2314699,-84.1469351,13117130411
92,1770 NESTLEDOWN DR,12/15/18,"$426,065 ",0.21,2018,"2,644",426065,161.1440998,2018,34.2270576,-84.1472828,13117130411
93,1780 NESTLEDOWN DR,12/31/18,"$481,153 ",0.27,2018,"3,297",481153,145.936609,2018,34.2272408,-84.1471824,13117130411
94,1790 NESTLEDOWN DR,12/11/18,"$441,805 ",0.26,2018,"2,644",441805,167.0972012,2018,34.2275004,-84.1471824,13117130411
95,1801 LEXINGTON GREEN PNES,11/30/21,"$395,020 ",0.06,2021,"2,346",395020,168.3802217,2021,34.2494002,-84.0968551,13117130411
96,1802 LEXINGTON GREEN PNES,11/30/21,"$408,740 ",0.06,2021,"2,423",408740,168.6917045,2021,34.2494001,-84.0968561,13117130411
97,1803 LEXINGTON GREEN PNES,11/22/21,"$386,695 ",0.06,2021,"1,701",386695,227.3339212,2021,34.24933552,-84.09689235,13117130411
98,1804 LEXINGTON GREEN PNES,11/30/21,"$369,580 ",0.06,2021,"2,190",369580,168.7579909,2021,34.2494001,-84.096858,13117130411
99,1805 NESTLEDOWN DR,9/21/20,"$439,580 ",0.21,2020,"2,725",439580,161.3137615,2020,34.2275919,-84.1477389,13117130411
100,1805 SAWNEE MEADOW LN,5/4/21,"$1,000,000 ",4.75,1994,"2,905",1000000,344.2340792,2021,34.2304314,-84.1414936,13117130411
101,1805 SAWNEE MEADOW LN,5/3/19,"$657,000 ",4.75,1994,"2,905",657000,226.16179,2019,34.2304314,-84.1414936,13117130411
102,1810 NESTLEDOWN DR,9/14/18,"$432,850 ",0.21,2018,"2,826",432850,153.1670205,2018,34.2277001,-84.1472854,13117130411
103,1815 NESTLEDOWN DR,12/18/20,"$423,645 ",0.21,2019,"2,278",423645,185.9723442,2020,34.2277256,-84.1478213,13117130411
104,1820 NESTLEDOWN DR,6/21/18,"$391,295 ",0.21,2018,"2,160",391295,181.1550926,2018,34.2278771,-84.1473679,13117130411
105,1825 NESTLEDOWN DR,6/7/19,"$427,705 ",0.24,2018,"2,644",427705,161.7643722,2019,34.2279459,-84.1479037,13117130411
106,1825 PINE RIDGE DR,11/24/20,"$380,000 ",2.26,1968,"2,294",380000,165.6495205,2020,34.229429,-84.1499647,13117130411
107,1830 NESTLEDOWN DR,12/20/18,"$432,488 ",0.21,2018,"2,644",432488,163.5733737,2018,34.2280955,-84.1474091,13117130411
108,1835 NESTLEDOWN DR,5/15/19,"$453,035 ",0.24,2018,"2,865",453035,158.1273997,2019,34.2281456,-84.1480068,13117130411
109,1835 NESTLEDOWN DR,9/14/20,"$449,995 ",0.24,2018,"2,865",449995,157.0663176,2020,34.2281456,-84.1480068,13117130411
110,1840 NESTLEDOWN DR,6/11/18,"$411,435 ",0.21,2018,"2,413",411435,170.5076668,2018,34.2282912,-84.1474297,13117130411
111,1845 NESTLEDOWN DR,7/26/19,"$441,141 ",0.21,2019,"2,685",441141,164.298324,2019,34.2283807,-84.147945,13117130411
112,1850 NESTLEDOWN DR,4/30/19,"$425,320 ",0.21,2018,"2,188",425320,194.3875686,2019,34.2284643,-84.1474297,13117130411
113,1855 NESTLEDOWN DR,4/24/18,"$457,415 ",0.21,2018,"3,228",457415,141.7022924,2018,34.2285744,-84.1479244,13117130411
114,1860 NESTLEDOWN DR,6/29/18,"$440,904 ",0.21,2018,"2,749",440904,160.3870498,2018,34.22866,-84.1474503,13117130411
115,1865 NESTLEDOWN DR,11/21/18,"$422,390 ",0.21,2018,"2,644",422390,159.7541604,2018,34.2287475,-84.1479244,13117130411
116,1870 NESTLEDOWN DR,3/27/19,"$429,225 ",0.21,2018,"2,644",429225,162.3392587,2019,34.2288764,-84.1474503,13117130411
117,1875 NESTLEDOWN DR,7/23/20,"$475,000 ",0.21,2018,"2,936",475000,161.7847411,2020,34.2289571,-84.1479718,13117130411
118,1875 NESTLEDOWN DR,4/25/18,"$441,165 ",0.21,2018,"2,936",441165,150.2605586,2018,34.2289571,-84.1479718,13117130411
119,1880 NESTLEDOWN DR,5/25/18,"$400,200 ",0.23,2018,"2,755",400200,145.2631579,2018,34.2290662,-84.1473473,13117130411
120,1885 NESTLEDOWN DR,4/26/18,"$449,235 ",0.29,2018,"3,228",449235,139.1682156,2018,34.2291802,-84.1479244,13117130411
121,1895 NESTLEDOWN DR,8/11/22,"$665,000 ",0.25,2018,"2,936",665000,226.4986376,2022,34.2293455,-84.1477595,13117130411
122,1895 NESTLEDOWN DR,7/12/18,"$454,863 ",0.25,2018,"2,936",454863,154.9260899,2018,34.2293455,-84.1477595,13117130411
123,1901 LEXINGTON GREEN PNES,8/20/21,"$353,950 ",0.06,2021,"1,873",353950,188.9749066,2021,34.2496717,-84.0969545,13117130411
124,1902 LEXINGTON GREEN PNES,8/20/21,"$346,165 ",0.06,2021,"1,873",346165,184.818473,2021,34.2493997,-84.0969528,13117130411
125,1903 LEXINGTON GREEN PNES,8/23/21,"$373,840 ",0.06,2021,"2,286",373840,163.5345582,2021,34.2493997,-84.0969528,13117130411
126,1904 LEXINGTON GREEN PNES,8/20/21,"$337,175 ",0.06,2021,"1,736",337175,194.2252304,2021,34.2493997,-84.0969528,13117130411
127,1910 DAHLONEGA HWY,6/4/21,"$805,000 ",2.14,2017,"2,579",805000,312.136487,2021,34.2476414,-84.1136811,13117130411
128,1915 TIMBERLAND DR,6/3/22,"$275,000 ",1.35,1973,"1,687",275000,163.0112626,2022,34.2350506,-84.1371855,13117130411
129,1920 TIMBERLAND DR,9/14/18,"$212,000 ",0.55,1989,"1,938",212000,109.3911249,2018,34.2357144,-84.1374053,13117130411
130,1925 CACTUS LN,1/31/22,"$408,100 ",0.58,1986,"1,748",408100,233.4668192,2022,34.234545,-84.1365671,13117130411
131,1925 CACTUS LN,8/13/20,"$263,000 ",0.58,1986,"1,748",263000,150.4576659,2020,34.234545,-84.1365671,13117130411
132,1925 GOLDMINE DR,8/24/18,"$350,000 ",3.07,1972,"2,708",350000,129.2466765,2018,34.2277092,-84.1556527,13117130411
133,1940 COUNTRY PL,5/27/20,"$285,000 ",0.99,1988,"2,435",285000,117.0431211,2020,34.2270974,-84.1564357,13117130411
134,1945 NESTLEDOWN DR,4/28/20,"$468,042 ",0.26,2019,"2,694",468042,173.7349666,2020,34.2295305,-84.1461931,13117130411
135,1950 TIMBERLAND DR,11/30/21,"$273,000 ",0.55,1979,"1,092",273000,250.0,2021,34.2357194,-84.1385048,13117130411
136,1955 GOLDMINE DR,7/10/18,"$490,000 ",2.9,1997,"2,975",490000,164.7058824,2018,34.2288894,-84.1559,13117130411
137,1955 NESTLEDOWN DR,5/8/20,"$461,362 ",0.24,2019,"2,690",461362,171.5100372,2020,34.2294321,-84.1459458,13117130411
138,1965 GOLDMINE DR,9/28/20,"$340,000 ",3.15,1972,"1,688",340000,201.4218009,2020,34.2294895,-84.1548696,13117130411
139,1965 NESTLEDOWN DR,7/31/20,"$454,440 ",0.21,2020,"2,898",454440,156.8115942,2020,34.2293151,-84.1457603,13117130411
140,1975 NESTLEDOWN DR,5/5/20,"$459,958 ",0.21,2019,"2,642",459958,174.0946253,2020,34.2290716,-84.1453908,13117130411
141,1975 TIMBERLAND DR,8/16/21,"$287,500 ",0.55,1980,"1,264",287500,227.4525316,2021,34.2349917,-84.1395767,13117130411
142,1975 TIMBERLAND DR,12/15/20,"$249,900 ",0.55,1980,"1,264",249900,197.7056962,2020,34.2349917,-84.1395767,13117130411
143,1985 NESTLEDOWN DR,8/17/21,"$448,470 ",0.21,2021,"2,813",448470,159.4276573,2021,34.229077,-84.145399,13117130411
144,1990 HUGHES DR,10/19/18,"$695,000 ",2.0,1993,"3,162",695000,219.7975965,2018,34.250813,-84.125596,13117130411
145,1995 NESTLEDOWN DR,11/26/19,"$471,335 ",0.21,2019,"2,697",471335,174.7626993,2019,34.228964,-84.1452038,13117130411
146,2001 LEXINGTON GREEN PNES,7/16/21,"$325,570 ",0.06,2021,"1,797",325570,181.1741792,2021,34.2493997,-84.0969528,13117130411
147,2002 LEXINGTON GREEN PNES,7/23/21,"$384,360 ",0.06,2021,"2,313",384360,166.1738003,2021,34.2493997,-84.0969528,13117130411
148,2003 LEXINGTON GREEN PNES,7/16/21,"$390,470 ",0.06,2021,"2,423",390470,161.1514651,2021,34.2493997,-84.0969528,13117130411
149,2004 LEXINGTON GREEN PNES,7/16/21,"$334,010 ",0.06,2021,"1,640",334010,203.6646341,2021,34.2493997,-84.0969528,13117130411
150,2005 NESTLEDOWN DR,12/14/21,"$509,865 ",0.21,2021,"3,088",509865,165.1117228,2021,34.228847,-84.1450183,13117130411
151,2015 GOLDMINE DR,7/31/18,"$282,000 ",0.95,1984,"2,720",282000,103.6764706,2018,34.2303709,-84.1533858,13117130411
152,2015 HONEYSUCKLE DR,9/16/22,"$275,000 ",0.57,1983,"1,356",275000,202.8023599,2022,34.2363585,-84.1373916,13117130411
153,2025 GOLDMINE DR,5/17/22,"$575,000 ",0.74,2017,"1,995",575000,288.2205514,2022,34.2306994,-84.1530148,13117130411
154,2025 GOLDMINE DR,1/19/18,"$325,000 ",0.74,2017,"1,995",325000,162.9072682,2018,34.2306994,-84.1530148,13117130411
155,2025 MOUNTAIN RD,11/29/22,"$142,100 ",0.5,1920,"1,050",142100,135.3333333,2022,34.247754,-84.1183099,13117130411
156,2025 NESTLEDOWN DR,10/31/19,"$458,466 ",0.26,2019,"2,662",458466,172.2261458,2019,34.2285696,-84.1446473,13117130411
157,203 LEXINGTON GREEN PNES,5/14/21,"$358,790 ",0.06,2021,"2,286",358790,156.9510061,2021,34.249399,-84.0971213,13117130411
158,2030 TIMBERLAND DR,9/7/21,"$325,000 ",0.55,1988,"1,737",325000,187.1042026,2021,34.235651,-84.1417637,13117130411
159,2035 NESTLEDOWN DR,5/27/21,"$438,064 ",0.25,2021,"2,682",438064,163.3348248,2021,34.2283493,-84.1445648,13117130411
160,204 LEXINGTON GREEN PNES,5/14/21,"$318,080 ",0.06,2021,"1,640",318080,193.9512195,2021,34.249399,-84.0971213,13117130411
161,2040 CACTUS LN,9/14/18,"$207,000 ",0.55,1989,"1,512",207000,136.9047619,2018,34.2344213,-84.1412257,13117130411
162,2045 NESTLEDOWN DR,6/29/21,"$439,545 ",0.21,2021,"2,279",439545,192.8674857,2021,34.2281536,-84.1445442,13117130411
163,2050 NESTLEDOWN DR,8/6/20,"$482,586 ",0.21,2020,"2,648",482586,182.2454683,2020,34.2280906,-84.1450389,13117130411
164,2055 NESTLEDOWN DR,8/25/21,"$429,670 ",0.21,2021,"2,666",429670,161.1665416,2021,34.2279579,-84.1445236,13117130411
165,2060 NESTLEDOWN DR,3/14/22,"$670,000 ",0.21,2020,"2,694",670000,248.7008166,2022,34.2278949,-84.1450183,13117130411
166,2060 NESTLEDOWN DR,9/30/20,"$470,071 ",0.21,2020,"2,694",470071,174.4881218,2020,34.2278949,-84.1450183,13117130411
167,2065 NESTLEDOWN DR,3/24/20,"$443,435 ",0.24,2019,"2,753",443435,161.0733745,2020,34.2277415,-84.1445236,13117130411
168,2070 CACTUS LN,11/5/20,"$275,000 ",0.55,1980,"2,486",275000,110.619469,2020,34.2345177,-84.1423387,13117130411
169,2070 CACTUS LN,11/14/18,"$225,000 ",0.55,1980,"2,486",225000,90.50683829,2018,34.2345177,-84.1423387,13117130411
170,2070 NESTLEDOWN DR,6/5/20,"$505,402 ",0.21,2020,"2,866",505402,176.3440335,2020,34.2276825,-84.1451007,13117130411
171,2075 CACTUS LN,6/24/21,"$275,000 ",0.55,1986,"1,704",275000,161.3849765,2021,34.2338273,-84.14238,13117130411
172,2075 NESTLEDOWN DR,6/5/20,"$437,331 ",0.25,2019,"2,654",437331,164.7818387,2020,34.2275517,-84.1446266,13117130411
173,2085 NESTLEDOWN DR,11/26/19,"$441,431 ",0.25,2019,"2,777",441431,158.9596687,2019,34.2273186,-84.1447297,13117130411
174,2095 NESTLEDOWN DR,6/12/20,"$439,650 ",0.26,2019,"3,089",439650,142.3276141,2020,34.2272212,-84.1449564,13117130411
175,2100 HONEYSUCKLE DR,3/15/21,"$415,000 ",2.19,1986,"2,526",415000,164.2913698,2021,34.2371198,-84.1406485,13117130411
176,2101 LEXINGTON GREEN PNES,4/16/21,"$338,105 ",0.06,2021,"1,763",338105,191.7782189,2021,34.2490541,-84.0980023,13117130411
177,2102 LEXINGTON GREEN PNES,4/30/21,"$351,790 ",0.06,2021,"1,763",351790,199.5405559,2021,34.2490541,-84.0980023,13117130411
178,2103 LEXINGTON GREEN PNES,4/16/21,"$327,465 ",0.06,2021,"1,796",327465,182.3301782,2021,34.2490541,-84.0980023,13117130411
179,2104 LEXINGTON GREEN PNES,4/16/21,"$330,220 ",0.06,2021,"1,796",330220,183.8641425,2021,34.2490541,-84.0980023,13117130411
180,2105 NESTLEDOWN DR,7/7/21,"$500,000 ",0.28,2019,"2,294",500000,217.9598954,2021,34.2270599,-84.1452038,13117130411
181,2105 NESTLEDOWN DR,12/21/20,"$429,139 ",0.28,2019,"2,294",429139,187.0701831,2020,34.2270599,-84.1452038,13117130411
182,2115 CACTUS LN,1/12/18,"$249,000 ",0.56,1986,"2,682",249000,92.84116331,2018,34.2337309,-84.1439877,13117130411
183,2115 NESTLEDOWN DR,6/28/21,"$440,680 ",0.28,2021,"2,774",440680,158.8608508,2021,34.2271848,-84.1455541,13117130411
184,2120 WEST BUCKEYE ST,11/16/18,"$180,000 ",0.55,1973,"1,317",180000,136.6742597,2018,34.2351196,-84.1431632,13117130411
185,2125 ANTIOCH RD,12/3/18,"$100,000 ",0.5,1981,876,100000,114.1552511,2018,34.2389023,-84.1091854,13117130411
186,2125 NESTLEDOWN DR,3/6/20,"$398,200 ",0.28,2019,"2,128",398200,187.1240602,2020,34.2273244,-84.1457603,13117130411
187,2130 HONEYSUCKLE DR,3/29/19,"$274,900 ",0.55,2019,"1,810",274900,151.878453,2019,34.2366363,-84.1421472,13117130411
188,2130 HONEYSUCKLE DR,3/29/22,"$427,000 ",0.55,2019,"1,810",427000,235.9116022,2022,34.2366363,-84.1421472,13117130411
189,2135 GOLDMINE DR,6/15/20,"$452,300 ",1.64,1973,"3,449",452300,131.1394607,2020,34.2309711,-84.149635,13117130411
